movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
I May Destroy You,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.","Michaela Coel, Weruche Opia, Paapa Essiedu",Drama ,30 Minutes,69165,4.76,1,22
Trackers,"Action series featuring various stories of organized crime, diamond smuggling, Black Rhinos, the CIA and terrorism in Cape Town, South Africa.","Tamer Burjaq, James Gracie, Sisanda Henna",Drama ,1 Hour,102564,4.56,1,23
El Presidente,"The head of a small Chilean football club becomes a key player in the 2015 FIFA corruption scandal.
Note: This show is in Spanish Language with hardcoded English Subtitles.","Andres Parra, Karla Souza, Paulina Gaitan","Comedy, Drama ",1 Hour,63007,4.27,1,24
Dummy,An aspiring writer befriends her boyfriend's sex doll and the two take on the world together.,"Anna Kendrick, Meredith Hagner, Donal Logue",Comedy ,6 Minutes,65359,4.44,1,25
Central Park,"An animated musical series that tells the story of a how a family of caretakers, who live and work in Central Park, end up saving the park, and basically the world.","Kristen Bell, Tituss Burgess, Daveed Diggs","Animation, Comedy, Musical ",25 Minutes,56658,4.69,1,26
Dear,An inventive approach to biographies of iconic figures in society by using letters written by those whose lives have been changed through their work.,"Audra Milos, Taylor Lee",Biography ,30 Minutes,16616,5,1,27
The First Team,The misadventures of three young football players at a fictional Premier League club.,"Jake Short, Shaquille Ali-Yebuah, Jack McMullen","Comedy, Sport ",30 Minutes,50374,4.67,1,28
Alex Rider,The adventures of a reluctant teen spy on his missions to save the world.,"Otto Farrant, Ronke Adekoluejo, Vicky McClure","Action, Adventure, Family ",45 Minutes,94834,4.87,1,29
We Hunt Together,"When former child soldier and refugee Baba Lenga saves sex worker Freddy Lane from sexual assault in a nightclub alleyway, it sets the pair on a murderous path together. Its up to DS Lola Franks and her new boss, DI Jackson Mendy, to track them down and stop them.","Babou Ceesay, Hermione Corfield, Kamara Abraham",Crime ,45 Minutes,72187,4.89,1,30
Operation Buffalo,"A gripping thriller, set in Maralinga, South Australia, at the height of the Cold War. At a remote army base carrying out British nuclear testing, paranoia runs rife and nuclear bombs are","Ewen Leslie, Jessica De Gouw, James Cromwell","Adventure, Comedy, Drama ",1 Hour,69801,5,1,31
Avocado Toast The Series,Ever wondered about your parents sex life? Neither did Molly and Elle until coming out and divorce forced them to learn about their parents new sex-capades.,"Heidi Lynch, Perrie Voss, Faye Marsay",Comedy ,15 Minutes,45335,3.85,1,32
Space Force,The people tasked with creating a sixth branch of the armed services: The Space Force.,"Steve Carell, Noah Emmerich, John Malkovich",Comedy ,30 Minutes,74928,4.66,1,33
Crime Diaries Night Out,"After going to a Halloween party, college student Luis AndrÃ©s Colmenares is found dead. Was it an accident or murder? Inspired by true events.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Ernesto Campos, Carlos Carvajal, Camila Jurado",Crime ,42 Minutes,43225,4.5,1,34
The Genetic Detective,The Genetic Detective follows investigative genetic genealogist CeCe Moore as she uses her unique research skills to transform the face of crime solving.,"CeCe Moore, Steve Armentrout, Sheriff Rick Bart",Crime ,1 Hour,74564,4.77,1,35
Love Life,"Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting love, and how the people we are with along the way make us into who we are when we finally end up with someone forever. With Zoe Chao, Peter Vack and Sasha Compere.","Anna Kendrick, Zoe Chao, Sasha CompÃ¨re","Comedy, Romance ",30 Minutes,96790,4.84,1,36
Control Z,"When a hacker begins releasing students secrets to the entire high school, the socially isolated but observant SofÃ­a works to uncover his/her identity.
Note: This show is in Spanish Language with hardcoded English Subtitles.","Ana Valeria Becerril, Michael Ronda, Yankel Stevan",Drama ,35 Minutes,86058,4.82,1,37
Blood Machines,An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.,"Elisa Lasowski, Anders Heinrichsen, Christian Erickson","Adventure, Music, Sci-Fi ",21 Minutes,84717,4.67,1,38
Trailer Park Boys - The Animated Series,"Nova Scotias favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.","John Paul Tremblay, Robb Wells, Mike Smith","Animation, Comedy ",25 Minutes,35608,4.77,1,39
Blood and Water,A local teen uncovers her familys secret past and navigates the complicated world of a South African high school.,"Ama Qamata, Khosi Ngema, Gail Mabalane",Drama ,1 Hour,189159,4.9,1,40
The Killer Truth,A refreshingly unique approach of focusing on one single murder case through the lens of the five people most closely involved with the crime in order to reveal a deeper and more complete picture of what actually happened in order to bring about justice.,"Tommy Campbell, Richard Lamparter, Chozy Rani Aiyub",Crime ,40 Minutes,96613,4.2,1,41
Sweet Magnolias,"Centers on three South Carolina women, best friends since high school, as they shepherd each other through the complexities of romance, career, and family.","JoAnna Garcia Swisher, Brooke Elliott, Heather Headley",Drama ,50 Minutes,61729,4.75,1,42
Hard,A recent widow learns her deceased husband was in the porn production business and faces the challenge of saving the company shes inherited.,"Fernando Alves Pinto, Denise Del Vecchio, Natalia Lage",Comedy ,30 Minutes,114863,4.86,1,43
Stargirl,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.,"Brec Bassinger, Luke Wilson, Anjelika Washington","Action, Adventure, Crime ",45 Minutes,335038,4.86,1,44
The Luminaries,Adventure mystery set in the midst of New Zealands 1860s gold rush.,"Eve Hewson, Eva Green, Himesh Patel",Adventure ,1 Hour,128141,4.79,1,45
Snowpiercer,"Set over seven years after the world has become a frozen wasteland, Snowpiercer centers on the remnants of humanity, who inhabit a gigantic, perpetually-moving train that circles the globe.","Jennifer Connelly, Daveed Diggs, Mickey Sumner","Action, Drama, Sci-Fi ",1 Hour,192516,4.9,1,46
Dead Still,Set in 1880s Ireland in the Victorian era heyday of postmortem photography the six-episode period drama follows a renowned memorial photographer who is drawn into a series of apparent murders which appear to be linked to his work.,"Michael Smiley, Jimmy Smallhorne, Eileen O Higgins","Comedy, Crime, Mystery ",45 Minutes,93521,5,1,47
Inhuman Resources,"Alain Delambre is a senior executive worn out and humiliated by six years of unemployment. So when a prestigious company selects him as a candidate, he is prepared to betray his wife, steal from his daughters, hit his son-in-law and even take part in a role-playing game in the form of a hostage-taking scenario, knowing that, if he is hired, all will be forgiven. But nothing will go as planned.
Note: This show is in French Language with hardcoded English Subtitles.","Eric Cantona, Suzanne Clement, Alex Lutz","Drama, Thriller ",52 Minutes,75823,3.67,1,48
The Unremarkable Juanquini,"An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he's going to pay for that.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Julian Cerati, Mariana Gomez, Julio Cesar Herrera",Comedy ,30 Minutes,36902,5,1,49
Magic for Humans,Justin Willman preforms magic tricks on the street.,"Justin Willman, Jillian Sipkins, Marcia Arvidsson",Comedy ,23 Minutes,72583,4.33,1,50
White Lines,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.","Laura Haddock, Nuno Lopes, Marta Milans","Drama, Mystery ",1 Hour,72999,4.33,1,51
Devils,A worldwide financial conspiracy is discovered by a group of traders of a large investment bank. Based on the novel by Guido Maria Brera.,"Patrick Dempsey, Alessandro Borghi, Laia Costa","Drama, Thriller ",1 Hour,157501,4.84,1,52
Bruh,"The lives of a group of 30-something Black men as they explore the world of dating, careers and friendship in a present-day society.","Barry Brewer, Caroline Harris, Mahdi Cocci",Comedy ,22 Minutes,106260,4.72,1,53
The Great,"A royal woman living in rural Austria during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.","Elle Fanning, Nicholas Hoult, Sebastian De Souza","Biography, Comedy, Drama ",1 Hour,100724,4.82,1,54
