movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Wu Assassins,A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Franciscos Chinatown.,"Iko Uwais, Katheryn Winnick, Byron Mann","Action, Crime ",50 Minutes,485208,4.81,1,338
This Way Up,A young woman puts her life back together after suffering from a nervous breakdown.,"Aisling Bea, Sharon Horgan, Aasif Mandvi",Comedy ,25 Minutes,83229,5,1,339
BH90210,"A reboot of the popular 1990s TV series, ""Beverly Hills, 90210"".","Gabrielle Carteris, Shannen Doherty, Jennie Garth","Comedy, Drama, Romance ",42 Minutes,192251,4.55,1,340
Moscow Noir,"In turn-of-the-21st-century Moscow, an innocent trade plunges Swedish investment banker, Tom Blixen, into a battle with millionaires, politicians, oligarchs and their private armies.","Adam PÃ¥lsson, Karolina Gruszka, Linda Zilliacus",Thriller ,45 Minutes,108975,4.66,1,341
Four Weddings and a Funeral,Television adaptation of the romantic comedy film Four Weddings and a Funeral.,"Nathalie Emmanuel, Brandon Mychal Smith, Rebecca Rittenhouse","Comedy, Romance ",1 Hour,225396,4.96,1,342
The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid, Antony Starr","Action, Comedy, Crime ",1 Hour,323130,4.82,1,343
Another Life,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"Katee Sackhoff, Samuel Anderson, Blu Hunt","Drama, Sci-Fi ",45 Minutes,154420,4.6,1,344
South Side,A pair of recent community college graduates look to become entrepreneurs in Chicago's South Side.,"Lanre Idewu, Danny Socorro Martinez, Stephen Anderson",Comedy ,21 Minutes,145409,5,1,345
Keeping Faith,"Faith, a small-town Welsh lawyer, is forced to cut short her extended maternity leave when her husband and business partner, Evan, goes missing. As the truth of his actions surface, Faith must fight to protect her family and her sanity.","Eve Myles, Mark Lewis Jones, Bradley Freegard","Drama, Mystery, Thriller ",1 Hour,98922,4.71,2,346
Lambs of God,"Lambs of God is a dark, gothic tale about three nuns, each a generation apart, living in an isolated convent by the coast, and an unwelcome visitor who enters their lives and changes their world forever.","Ann Dowd, Essie Davis, Jessica Barden",Drama ,50 Minutes,140948,4.98,1,347
Pennyworth,"The story of Alfred Pennyworth, a former special-forces officer living in London and working for Bruce Waynes father.","Hainsley Lloyd Bennett, Ben Aldridge, Dorothy Atkinson","Action, Crime, Drama ",1 Hour,260993,4.82,1,348
DarkWeb,A genius programmer's mysterious disappearance leads to the reunion of old friends and the discovery that the strange stories she left behind may point to an impending technological crisis.,"Lana McKissack, Brian Elerding, Michael Nardelli",Horror ,35 Minutes,156257,4.71,1,349
Pearson,Attorney Jessica Pearson enters the complex and seedy world of Chicago politics.,"Gina Torres, Isabel Arraiza, Eli Goree",Drama ,1 Hour,344568,4.87,1,350
GameFace,"Marcella is an aspiring actress recovering from a relationship break up. Despite her optimistic attempts, and with help from her friends, therapist and driving instructor, she is unable to get her life back on track.","Dustin Demri-Burns, Roisin Conaty, Damien Molony",Comedy ,24 Minutes,101781,4.64,1,351
Pandora,"Set in the year 2199, a young woman who has lost everything finds a new life at Earths Space Training Academy where she learns to defend the galaxy from intergalactic threats.","Priscilla Quintana, Martin Bobb-Semple, Noah Huntley","Action, Drama, Sci-Fi ",42 Minutes,340411,4.78,1,352
The Unsettling,"Becca, a 16-year-old girl, arrives at her new foster home located in a remote area. Her foster siblings are less than welcoming but none more so than the 11-year-old biological
son of their..
Note: This show is in Portuguese  Language but with hardcoded English Subtitles.","Joy Goodman, Tequan Richmond, An-Li Bogan","Crime, Fantasy, Horror ",22 Minutes,123556,5,1,353
3Below - Tales of Arcadia,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,"Tatiana Maslany, Diego Luna, Nick Offerman","Action, Animation, Comedy ",24 Minutes,180755,4,1,354
Family Reunion,"When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.","Anthony Alabi, Loretta Devine, Talia Jackson",Comedy ,30 Minutes,125563,4.75,1,355
Dark Money,The family of an abused child accepts hush money from a famous filmmaker to remain silent.,"Babou Ceesay, Jill Halfpenny, Rudi Dharmalingam",Drama ,1 Hour,150359,4.82,1,356
Veronica Mars,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.","Kristen Bell, Percy Daggs III, Jason Dohring","Comedy, Crime, Drama ",44 Minutes,249976,4.79,4,357
The Last Czars,A Chronicled look at the fall of the Romanov dynasty in Russia.,"Robert Jack, Susanna Herbert, Ben Cartwright",Documentary ,45 Minutes,108532,4.78,1,358
Scream,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,"Willa Fitzgerald, Bex Taylor-Klaus, John Karna","Crime, Drama, Horror ",45 Minutes,182936,4.84,3,359
The Rook,This London-set series centers on a young woman pursued by shadowy paranormal adversaries while grappling with extraordinary abilities of her own.,"Emma Greenwell, Joely Richardson, Jon Fletcher","Drama, Fantasy, Thriller ",1 Hour,256302,4.79,1,360
The Chosen One,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.
Note: This show is in Portuguese Language but with hardcoded English Subtitles.","Renan Tenca, Paloma Bernardi, Gutto Szuster","Mystery, Thriller ",40 Minutes,277245,4.59,2,361
Rostered On,"""Rostered On"" is an independent Australian comedy show based around the day to day struggles of working for a faceless retail corporation ""Electroworld"".","Paul Moore, Doug Lyons, Ronn Kurtz",Comedy ,22 Minutes,75038,5,1,362
Final Space,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,"Olan Rogers, Fred Armisen, Tom Kenny","Action, Adventure, Animation ",30 Minutes,226102,4.44,1,363
Pure 2019,"Pure tells the story of Noah Funk, a newly-elected Mennonite pastor, who is determined to rid his community of drug traffickers by betraying a fellow Mennonite to the police.","Ryan Robbins, Alex Paxton-Beesley, Dylan Everett",Drama ,1 Hour,98964,4.26,1,364
Beecham House,A look at the lives of residents living in a Delhi mansion during the cusp of 19th century.,"Tom Bateman, Kumiko Kaur Chadha Berges, Ronak Singh Chadha Berges",Drama ,45 Minutes,94153,4.73,1,365
London Kills,Follows the detectives of an elite murder investigation squad in London.,"Hugo Speer, Sharon Small, Bailey Patrick",Crime ,1 Hour,151874,4.86,2,366
Mr Iglesias,A good-natured high school teacher working at his alma mater works with gifted but misfit and disinterested students.,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas",Comedy ,30 Minutes,130405,4.89,2,367
Reef Break,"A crime drama featuring main character Cat Chambers, a thief-turned-fixer for the governor of a stunning and seductive Pacific Island paradise. Impulsive, reckless and irresistible, Cat's less-than-perfect past gives her an instinctive gift for understanding crime and criminals as she becomes enmeshed in fast-paced, high octane adventures and island intrigue. Cat's reappearance also makes waves for old friends, enemies and lovers, including an FBI agent ex-husband, her imprisoned crime boss and a police detective lover who is in over his head. Each episode will be a character-driven cocktail of crime, surf, sex and sunshine, and for Cat, the lines between work and play have never been blurrier.","Melissa Bonne, Desmond Chiam, Poppy Montgomery","Crime, Drama ",1 Hour,232545,4.8,1,368
Ambitions,A woman moves to a new city and finds herself going head to head with the towns most powerful and deceitful players.,"Robin Givens, Brian White, Kendrick Cross",Drama ,42 Minutes,655947,4.92,1,369
The Pier,"High-profile architect Alexandra faces her worst nightmare when she gets a call from local cop Conrado to identify her husband Oscars body, found on a pier in the beautiful Albufera landscape outside Valencia. Suicide? How can it be when they had made plans for their future just hours ago?
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Alvaro Morte, Veronica Sanchez, Irene Arcos",Drama ,50 Minutes,123073,4.69,2,370
The Missing,"When Tony and Emily Hughes travel to France with their 5-year-old son Oliver, their family holiday turns into a nightmare when Oliver disappears from a large celebrating crowd in Northern France.","TchÃ©ky Karyo, Anastasia Hille, David Morrissey","Crime, Drama, Mystery ",1 Hour,173382,4.82,3,371
Grand Hotel,A look at the professional and personal lives of people working at a family-run hotel in Miami Beach.,"Demian Bichir, Denyse Tontz, Chris Warren",Drama ,43 Minutes,385637,4.91,1,372
Euphoria,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","Zendaya, Austin Abrams, Maude Apatow",Drama ,55 Minutes,492487,4.81,1,373
Los Espookys,"A group of friends turn their love for horror into a peculiar business, providing horror to those who need it, in a dreamy Latin American country where the strange and eerie are just part of daily life.","Fred Armisen, Cassandra Ciangherotti, Ana Fabrega","Comedy, Horror ",25 Minutes,109363,4.53,1,374
Trinkets,An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell",Drama ,30 Minutes,132113,4.79,1,375
Jett,"World-class thief Daisy Jett Kowalski is just out of prison and already being forced back into what got her there, by a group of eccentric and dangerous criminals.","Michael Aronov, Gus Halper, Carla Gugino",Drama ,1 Hour,229720,4.88,1,376
Jinn,An Arabic-language coming-of-age series with elements of the supernatural.,"Salma Malhas, Sultan Alkhail, Hamzeh Okab","Drama, Fantasy, Horror ",40 Minutes,155359,4.68,1,377
Too Old to Die Young,"Detective Martin Jones, who leads a double life as a killer for hire in Los Angeles deadly underground, suffers an existential crisis which leads him deeper into a blood splattered world of violence.","Miles Teller, William Baldwin, Celestino Cornielle","Crime, Drama ",55 Minutes,119773,4.59,1,378
Wild Bill,"US police chief Bill Hixon lands in Lincolnshire with his 14 year-old daughter Kelsey, hoping to flee their recent painful past. New community forces Bill to question everything about himself.","Rob Lowe, Bronwyn James, Anthony Flanagan",Crime ,45 Minutes,122112,4.83,1,379
Good Witch,"Good Witch will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the magical mother-daughter duo.","Kylee Evans, Rhys Matthew Bond, Catherine Bell","Comedy, Drama, Fantasy ",48 Minutes,287430,3.89,2,380
Tales of the City,A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind.,"Ellen Page, Laura Linney, Charlie Barnett",Drama ,1 Hour,117381,4.47,1,381
City on a Hill,"In 1990s Boston, an assistant district attorney and a corrupt yet venerated FBI veteran work together to take on a case that grows to involve, and ultimately subvert, the entire criminal justice system of Boston.","Kevin Bacon, Aldis Hodge, Jonathan Tucker","Crime, Drama, Thriller ",1 Hour,173877,4.52,1,382
Losers,"In a winning is everything society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.","Michael Bentt, Surya Bonaly, Mauro Prosperi","Documentary, Sport ",30 Minutes,101838,5,1,383
Playing with Fire,"Three prosperous women, including a mother and her daughter, fall for a seductive man in Colombia's Coffee Triangle.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Jason Day, Margarita Rosa de Francisco, Carlos Ponce",Drama ,42 Minutes,137352,4.91,1,384
American Princess,An American socialite runs off to join a Renaissance Faire after her wedding goes awry.,"Georgia Flood, Del Brown, Mary Hollis Inboden",Drama ,1 Hour,156258,4.71,1,385
Malibu Rescue,A ragtag group of aspiring junior lifeguards from The Valley compete against the snobby local kids for bragging rights and the ultimate tower at Malibu beach.,"Ricardo Hurtado, Jackie R. Jacobson, Abby Donnelly",Adventure ,25 Minutes,121895,4.5,1,386
NOS4A2,"Charlie Manx, a seductive immortal who feeds off the souls of children, has his whole world threatened when a young woman in New England discovers she has a dangerous gift.","Andresito Germosen De La Cruz, Ebon Moss-Bachrach, Zachary Quinto",Horror ,1 Hour,174225,4.63,2,387
Perpetual Grace LTD,"Follows James (Jimmi Simpson), a young grifter, as he attempts to prey upon Pastor Byron Brown (Sir Ben Kingsley), who turns out to be far more dangerous than he suspects.","Chris Conrad, Dana DeLorenzo, Damon Herriman",Drama ,1 Hour,101204,5,1,388
Swamp Thing,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp.","Crystal Reed, Virginia Madsen, Andy Bean","Action, Drama, Fantasy ",1 Hour,452145,4.86,1,389
Killer Ratings,"The true-life story of Brazilian TV host Wallace Souza, who literally killed for ratings, and used his crime TV show to cover up the grizzly truth.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Dinah Lord, Eamonn Matthews","Crime, Documentary ",1 Hour,111187,4.43,1,390
How to Sell Drugs Online Fast,"To win back the love of his life, a high school student and his best friend launch Europes largest online drug business from their teenage bedroom.
Note: This show is in German Language but with hardcoded English Subtitles.","Maximilian Mundt, Danilo Kamber, Lena Klenke","Comedy, Crime, Drama ",30 Minutes,121747,4.74,1,391
When They See Us,Chronicle the true story of a notorious case of five black teenagers who were convicted of a rape they did not commit.,"Jovan Adepo, Reginald L. Barnes, Asante Blackk","Biography, Drama, History ",1 Hour,254099,4.93,1,392
Good Omens,"A tale of the bungling of Armageddon features an angel, a demon, an eleven-year-old Antichrist, and a doom-saying witch.","Michael Sheen, David Tennant, Frances McDormand","Comedy, Fantasy ",1 Hour,132751,4.97,1,393
The Letdown,"Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother, and fancy-free best friend, make it damn near impossible.","Alison Bell, Duncan Fellows, Sacha Horler",Comedy ,30 Minutes,82485,4.6,1,394
Gomorrah,"Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire familys life at risk.
Note: This show is in Italian Language but with hardcoded English Subtitles.","Marco D Amore, Salvatore Esposito, Fortunato Cerlino","Crime, Drama, Thriller ",55 Minutes,298027,4.89,4,395
Private Eyes,Former professional hockey player Matt Shade partners with private eye Angie Everett to solve crimes around Toronto.,"Jason Priestley, Cindy Sampson, Barry Flatman","Comedy, Crime, Drama ",43 Minutes,179457,4.04,1,396
The InBetween,A woman who assists the dead with their unresolved problems helps detectives solve murder cases.,"Harriet Dyer, Paul Blackthorne, Justin Cornwell","Drama, Sci-Fi ",43 Minutes,321647,4.94,1,397
High Seas,"Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Ivana Baquero, Alejandra Onieva, Jon Kortajarena","Crime, Drama, Mystery ",50 Minutes,176003,4.78,2,398
Years and Years,The plot will follow a busy family from Manchester with their lives converging on one crucial night in 2019.,"Jade Alleyne, Maxim Baldry, Sharon Duncan-Brewster",Drama ,1 Hour,143773,4.86,1,399
Kingdom,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.
Note: This show is in Korean Language but with hardcoded English Subtitles.","Doona Bae, Greg Chun, Jun-ho Heo","Action, Drama, Thriller ",45 Minutes,401557,4.78,2,400
The Hot Zone,The frightening spread of the EBV (Ebolavirus).,"Liam Cunningham, James D'Arcy, Noah Emmerich","Drama, Sci-Fi, Thriller ",1 Hour,150017,4.89,1,401
The Mechanism,"Dramatic fiction series loosely inspired by an investigation of corruption in Brazils private and state oil companies and construction companies.
Note: This show is in Portuguese Language but with hardcoded English Subtitles.","Caroline Abras, Jonathan Haagensen, Selton Mello","Crime, Drama, Thriller ",41 Minutes,155425,4.44,2,402
What If,"An anthology series which tackles a different morality tale, and the ripple effect of a single decision that changes the trajectory of an entire life.","Jane Levy, Blake Jenner, Keith Powers",Thriller ,55 Minutes,161785,4.7,1,403
Shes Gotta Have It,The story of one woman and her three lovers. TV series based on the film by Spike Lee.,"DeWanda Wise, Chyna Layne, Joie Lee",Comedy ,30 Minutes,126978,4.81,2,404
Summer of Rockets,Cold war drama following a Russian Jewish inventor and his family living in Britain.,"Toby Stephens, Keeley Hawes, Lily Sacofsky",Drama ,1 Hour,72891,5,1,405
Slasher,An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.,"Paula Brancati, Christopher Jacot, Jim Watson","Drama, Horror, Mystery ",1 Hour,126832,4.54,1,406
Riviera,A woman discovers her familys lifestyle has been funded by blood and seeks to protect herself and her loved ones.,"Roxane Duran, Igal Naor, Julia Stiles","Drama, Thriller ",1 Hour,140477,4.63,2,407
Blood And Treasure,An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.,"Sofia Pernas, Matt Barr, Katia Winter","Action, Adventure ",1 Hour,527117,4.91,1,408
Hatton Garden,"Four elderly men, all experienced thieves, carry out a large-scale robbery.","Nasser Memarzia, Kenneth Cranham, David Hayman",Drama ,45 Minutes,81906,4.75,1,409
The Protector,"Given mystical powers by a talismanic keepsake, a young man embarks on a quest to fight shadowy forces and solve a mystery from his past.
Note: This show is in Turkish Language but with hardcoded English Subtitles.","Cagatay Ulusoy, Hazar Erguclu, Okan Yalabik","Action, Fantasy, Sci-Fi ",40 Minutes,436195,4.8,3,410
Money Heist,"A group of very peculiar robbers assault the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and take home 2.4 billion euros.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Úrsula Corberó, Itziar Ituño, Álvaro Morte","Action, Crime, Mystery ",1 Hour 10 Minutes,3303885,4.92,4,411
Catch-22,Limited series adaptation of the classic Joseph Heller novel.,"Christopher Abbott, Kyle Chandler, George Clooney","Comedy, Crime, Drama ",42 Minutes,138817,4.86,1,412
Its Bruno,"This series follows a man and his beloved dog, Bruno, as they stroll through the streets of Bushwick, Brooklyn.","Eddie J. Hernandez, ZsaZsa Gabone, Jamil A.C. Mangan",Comedy ,15 Minutes,76956,4.64,1,413
The Virtues,"The Virtues is a drama series that’s equal parts unlikely love story and an exploration of the conflict between sin and virtue. The story revolves around Joseph, a moral yet troubled man who’s lost everything. He finds himself compelled to travel to Ireland to confront demons from a childhood spent in the care system, resulting in savage and brutal consequences. He also crosses paths with a fiery, yet guarded woman, Dinah, whos hiding a secret.","Stephen Graham, Niamh Algar, Helen Behan",Drama ,50 Minutes,125339,5,1,414
Mum,"After the death of her husband, a woman attempts to rebuild her life while surrounded by her sometimes problematic family and friends.","Lesley Manville, Peter Mullan, Lisa McGrillis",Comedy ,30 Minutes,72405,5,1,415
LAs Finest,The spinoff series of Bad Boys films will focus on Drug Enforcement Agent Sydney Burnett.,"Jessica Alba, Gabrielle Union, Laz Alonso","Action, Comedy, Crime ",1 Hour,352069,4.92,1,416
The Society,A group of teenagers struggles to survive after they're mysteriously transported to a replica of their wealthy town with no trace of their parents.,"Kathryn Newton, Gideon Adlon, Sean Berdy","Drama, Mystery ",58 Minutes,136149,4.98,1,417
Easy,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.","Jane Adams, Jacqueline Toboni, Zazie Beetz",Comedy ,30 Minutes,95173,3.96,1,418
State of the Union,"State of the Union follows Louise and Tom who meet in a pub immediately before their weekly marital therapy session. Each episode pieces together how their lives were, what drew them together, and what has started to pull them apart.","Chris O'Dowd, Rosamund Pike, Jitendra Rai",Comedy ,10 Minutes,144932,5,1,419
Chernobyl,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Jared Harris, Stellan SkarsgÃ¥rd, Emily Watson",Drama ,1 Hour,220615,4.84,1,420
The Spanish Princess,"The beautiful Spanish princess, Catherine of Aragon, navigates the royal lineage of England with an eye on the throne.","Charlotte Hope, Aaron Cobham, Elliot Cowan","Drama, History ",1 Hour,287943,4.62,1,421
Tuca and Bertie,The story of two 30-year old bird women who live in the same apartment building.,"Tiffany Haddish, Ali Wong, Steven Yeun","Animation, Comedy ",25 Minutes,94009,4.54,1,422
Dead to Me,A series about a powerful friendship that blossoms between a tightly wound widow (Applegate) and a free spirit with a shocking secret.,"Christina Applegate, Linda Cardellini, Edward Asner","Crime, Drama, Comedy ",30 Minutes,186696,4.8,2,423
The Son,A multi-generational epic telling of the story of Americas birth as a superpower through the bloody rise and fall of one Texas oil empire.,"Henry Garrett, Paola Nunez, Pierce Brosnan","Drama, Western ",44 Minutes,293114,4.96,2,424
Chambers,A woman survives a heart transplant and begins to develop different personality traits.,"Sivan Alyra Rose, Griffin Powell-Arcand, Nicholas Galitzine","Drama, Fantasy, Horror ",1 Hour,149478,4.82,1,425
Bonding,Two best friends from high school meet up in New York years later.,"Zoe Levin, Brendan Scannell, Kevin Kane","Comedy, Drama ",20 Minutes,104465,4.12,1,426
Gentleman Jack,"Anne Lister returns to Halifax, West Yorkshire in 1832, determined to transform the fate of her faded ancestral home Shibden Hall.","Joe Armstrong, Jessica Baglow, Amelia Bullmore",Drama ,1 Hour,155397,4.79,1,427
Lunatics,This mockumentary series follows the peculiar lives of six eccentric - and sometimes obscene - misfits who march to their own beat.,"Chris Lilley, Ellyse Gough, Amy Emanuele",Comedy ,37 Minutes,135853,4.17,1,428
Ramy,"Ramy, the son of Egyptian immigrants, is on a spiritually conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching.","Ramy Youssef, Amr Waked, Mohammed Amer",Comedy ,30 Minutes,148431,4.85,2,429
Chimerica,A photojournalist travels to China with the hopes of finding out who the mysterious man was who was photographed standing defiantly in front of a tank in Tiananmen Square twenty years ago.,"Alessandro Nivola, Cherry Jones, Terry Chen",Drama ,50 Minutes,102420,5,1,430
Bless This Mess,A newlywed couple's plan to leave the big city for a quieter life in Nebraska doesn't go as expected.,"Madison Curry, Lake Bell, Pam Grier",Comedy ,30 Minutes,188558,4.95,2,431
Trust Me,A hardworking nurse who loses her job for whistle-blowing is forced to take drastic measures to provide for her daughter.,"Jodie Whittaker, Emun Elliott, Lois Chimimba","Drama, Thriller ",55 Minutes,77961,4.56,1,432
The Bad Seed,"The Bad Seed tells the story of two brothers from a dysfunctional family who have raised themselves up from the desperate days of their early childhood, only to have their newly ordered","Matt Minto, Jodie Hillock, Zoe Jansson-Bush",Drama ,45 Minutes,100518,4.73,1,433
No Good Nick,"A family finds their lives turned upside down when a young, street-smart grifter shows up on their doorstep, claiming to be a distant relative.","Siena Agudong, Lauren Lindsey Donzis, Kalama Epstein","Comedy, Family ",30 Minutes,118153,4.87,2,434
Ghosts,A group of spirits restlessly squabble in an abandoned country home.,"Lolly Adefope, Mathew Baynton, Simon Farnaby",Comedy ,30 Minutes,198096,4.87,1,435
The Red Line,Follows three Chicago families as they journey toward hope and healing after an unarmed African American doctor is shot by a white cop. The tragedy causes the families to consider how race and racial biases affect their lives.,"Noah Wyle, Emayatzy Corinealdi, Noel Fisher","Crime, Drama ",42 Minutes,122984,4.75,1,436
Dont Forget The Driver,A coach driver and single father navigates the post-Brexit world surrounding his seaside enclave.,"Jo Eaton-Kent, Erin Kellyman, Danny Kirrane",Comedy ,22 Minutes,92574,4.33,1,437
Special,"SPECIAL is semi-autobiographical comedy about a gay man with cerebral palsy in his mid-20s coming of age by starting his first real job, beginning his first adventures in dating, and moving.","Gina Hughes, Christopher Lee Herod, Sean Koetting",Comedy ,20 Minutes,130767,4.62,1,438
Huge in France,"Eager to reconnect with his son, French comedy star Gad Elmaleh moves to LA, only to discover that heâ€™s left all his fame and celebrity perks behind.","Gad Elmaleh, Matthew Del Negro, Erinn Hayes",Comedy ,32 Minutes,82684,5,1,439
Black Summer,A mother searches for her daughter after civilization collapses due to a Zombie outbreak.,"Sal Velez Jr., Justin Chu Cary, Kelsey Flower","Action, Drama, Horror ",40 Minutes,189226,4.78,1,440
Fosse Verdon,"An inside look at the romantic and creative partnership between influential choreographer/director, Bob Fosse, and Gwen Verdon, one of the greatest Broadway dancers of all time.","Sam Rockwell, Michelle Williams, Norbert Leo Butz","Biography, Drama, Music ",1 Hour,141251,4.54,1,441
The Victim,"A mother seeks the whereabouts of her son's killer after he is released from prison, unleashing a series of events that surface tragic memories and unexpected consequences.","Isis Hainsworth, Seylan Baxter, Georgie Glen",Drama ,1 Hour,121536,4.81,1,442
The Code,"A look at the professional and personal lives of some of the military's brightest legal minds in the courtroom, where each attorney is trained as a prosecutor, a defense lawyer, an investigator - and a Marine.","Anna Wood, Ato Essandoh, Phillipa Soo",Drama ,1 Hour,393912,4.81,1,443
Warrior,"Set during the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy originating from China to San Francisco, ends up becoming a hatchet man for the most powerful tong in Chinatown","Jason Tobin, Andrew Koji, Olivia Cheng","Action, Drama, History ",1 Hour,948755,4.82,1,444
Quicksand,"Maja, a student in Stockholm, finds herself on trial for murder after a tragedy at her school. More doubts and suspicions arise when new revelations are made.","Hanna ArdÃ©hn, Felix Sandman, David Dencik",Drama ,45 Minutes,135243,4.95,1,445
In the Dark,"A young, blind woman tries to solve her friend's murder.","Perry Mattfeld, Brooke Markham, Keston John","Comedy, Drama ",30 Minutes,278047,4.83,2,446
Ultraman,Shinjiro Hayata learns that his father passed on the Ultraman Factor to him and fights against evil.,"Robbie Daymond, D.C. Douglas, Takuya Eguchi","Action, Animation, Sci-Fi ",25 Minutes,272244,4.88,1,447
The Twilight Zone,"An updated version of the classic TV series featuring various tales of science fiction, horror and mystery.","Jordan Peele, Lesley Mirza, Josh Collins","Drama, Fantasy, Horror ",1 Hour,342276,4.77,1,448
Line of Duty,DS Steve Arnott is transferred to the police anti-corruption unit after the death of a man in a mistaken shooting during a counter-terrorist operation.,"Martin Compston, Vicky McClure, Adrian Dunbar","Crime, Drama, Mystery ",1 Hour,154386,3.56,1,449
Veep,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.,"Julia Louis-Dreyfus, Tony Hale, Anna Chlumsky",Comedy ,28 Minutes,112354,4.87,1,450
The Tick,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.","Peter Serafinowicz, Griffin Newman, Valorie Curry","Action, Adventure, Comedy ",29 Minutes,181787,4.91,2,451
Tacoma FD,Comedic look at firefighters battling their own boredom.,"Eugene Cordero, Marcus Henderson, Gabriel Hogan",Comedy ,30 Minutes,185638,4.9,2,452
What We Do in the Shadows,"A look into the daily (or rather, nightly) lives of four vampires who've lived together for over 100 years, in Staten Island.","Kayvan Novak, Harvey GuillÃ©n, Natasia Demetriou",Comedy ,30 Minutes,233989,4.89,2,453
The Murders,A rookie Homicide detective s negligence in a fellow officers death has her searching for redemption in her investigations.,"Jessica Lucas, Dylan Bruce, Terry Chen","Crime, Drama ",45 Minutes,170200,4.86,1,454
Delhi Crime,"It is based on the true-life investigation about a brutal gang rape in India. The case had enormous impact, paving the way for the introduction of stricter laws so the victims voice will finally be heard in this developing nation.","Swati Bhatia, Shefali Shah, Rasika Dugal","Crime, Drama ",50 Minutes,122470,4.54,1,455
The Bay,Detective Sergeant Lisa Armstrong investigates a missing person in Morecambe Bay.,"Morven Christie, Chanel Cresswell, Louis Greatorex",Drama ,1 Hour,127659,5,1,456
The Act,"Follows Gypsy Blanchard, a girl trying to escape the toxic relationship she has with her overprotective mother.","Patricia Arquette, Joey King, ChloÃ« Sevigny","Crime, Drama, Horror ",1 Hour,221910,4.95,1,457
Pretty Little Liars - The Perfectionists,"A group of three college friends struggle with the stress of being overachievers in a seemingly perfect town, but in the aftermath of the towns first murder, each Perfectionist hides behind a secret.","Eli Brown, Sofia Carson, Hayley Erin","Crime, Drama, Mystery ",45 Minutes,346505,4.9,1,458
The Village,Residents of a unique apartment building in Brooklyn build a bonded family of friends and neighbors.,"Warren Christie, Michaela McManus, Lorraine Toussaint",Drama ,1 Hour,232555,4.98,1,459
Jann,"In JANN, Jann Arden plays a fictionalized, self-deprecating version of herself: a singer songwriter of a certain age in severe denial of the harsh reality that her former music career is slowly (okay rapidly) fading away. But its not just Janns career thats on life support – she’s newly single (don’t remind her), her sister may disown her, and her mother may be showing early signs of memory loss.","Deborah Grover, Jason Blicker, Jann Arden",Comedy ,20 Minutes,111415,5,1,460
